filename,flower,leaf,lotus,mango,peacock
313328266_416213090725431_6820424521413632253_n_jpg.rf.766f3c3a3204d6439211ea1fedc3549f.jpg,1,1,0,0,0
209814091_259691845924583_9063348626108131918_n_jpg.rf.04c2dc3a2672e230c39e75efa3bed905.jpg,1,1,0,0,1
83992730_2031139013745106_314149733329461075_n_jpg.rf.c28e27c7a2b2b0a5b6a70b83c06707b0.jpg,1,0,0,0,1
84285166_639307466843680_4819478293673727123_n_jpg.rf.24761c6ea1de50450da9f738ad746379.jpg,1,1,1,0,1
199637519_1010568416413437_7771017246975927574_n_jpg.rf.b1e155535b88e7822a12aaa9b0617155.jpg,1,0,0,0,1
241670984_2221888434620751_831984435865904094_n_jpg.rf.bcb8deb32eaba979416e6394f0df8e6a.jpg,1,0,0,0,0
76993326_164479844613793_2650353990167288601_n_jpg.rf.0afba422f5b140808638cd4a4c5f10e9.jpg,1,0,0,1,0
209800490_1946820202144647_1560999993280521354_n_jpg.rf.943c16143855f806399c50cc3c1db73d.jpg,1,1,0,0,0
200140756_868092240580587_1972353085396947150_n_jpg.rf.8988b4047e205661f7fa94b2b8f4c9d1.jpg,1,1,0,0,0
75332693_2513555755346887_1454412255301799361_n_jpg.rf.9ff54cbaf138881147c4e93c1ccb4c64.jpg,1,0,0,1,1
319927260_200240839204064_364875448046488569_n_jpg.rf.42ba9ce5ecf311a7184c2b5e74dff1ab.jpg,1,0,0,0,0
241669422_904420743817461_4020382468905722542_n_jpg.rf.2cc53ebf68e2868a76e15c0d27cc79ff.jpg,0,0,0,0,0
241448089_1058364128266006_5828609689097464000_n_jpg.rf.89201b4c172583500597779dd7c7062c.jpg,0,0,0,0,0
240379819_539428707339677_4023996587309834884_n_jpg.rf.dfb8a4833800be81b0481297395e3efc.jpg,1,1,0,0,0
199720097_193672146092241_3656497859180310602_n_jpg.rf.6c88d98e29d40b330cb04b41f68db562.jpg,1,1,0,0,0
199777374_764022147622649_7373420773267357510_n_jpg.rf.af1ec1eaddc6f827b34bd580928d4c54.jpg,1,1,0,0,0
85158539_108298897297494_1813321348686336604_n_jpg.rf.4149ca6d4a991ff0cbde81cfdda351c7.jpg,1,1,0,0,0
323182578_2974200876057031_306207947748648135_n_jpg.rf.da8f5ee058ed656acc514e4136dce7f2.jpg,1,0,1,0,1
209538386_4288113877914947_3640336867552306054_n_jpg.rf.4d822180b46cfe82715ddcc4b7613285.jpg,1,0,1,0,0
241434127_919236929020439_1100255468377212650_n_jpg.rf.66950c5dc41f8947e8030a0c332948dc.jpg,0,0,0,0,0
89436116_2293843014247206_9103625139767662306_n_jpg.rf.20c8898a70c973d5678179cd37960f64.jpg,1,0,0,1,1
image164_jpeg.rf.d3c582dde99b9984d6a8320fe0aa68e7.jpg,0,0,0,0,1
75430304_449598125707881_3787568423023731466_n_jpg.rf.673cf24d013bf2aae98b2645d68cfa1c.jpg,1,0,0,1,0
209611347_399831264733315_7161096204133391275_n_jpg.rf.ceff0c8e446e290ee185709835d4a751.jpg,1,0,0,1,0
image147_jpeg.rf.4b2e43612aeaa5a3922218be845761ed.jpg,0,0,0,0,1
75534211_2470426809895224_9032185336654309352_n_jpg.rf.cb34040bc095abf68add3d2a039d4e03.jpg,1,0,0,1,0
319755858_890337615309709_5465346038976913342_n_jpg.rf.752c5d44bfece9c7a4500522cc2ddea3.jpg,1,1,0,1,0
320068125_644640114116643_7719954701909650019_n_jpg.rf.cc28242b69ae14f7f01f81b0e7cabd99.jpg,1,1,0,1,1
241426362_531529984588755_5364623917547987418_n_jpg.rf.01c97b9209daebbcbd47129f037b857c.jpg,0,0,0,0,0
201156472_333103728366654_553668241281136138_n_jpg.rf.69aebd5c16d5ae81f86977db96fecda7.jpg,1,1,0,0,0
241666829_986666261905392_2698237152234384982_n_jpg.rf.e064f07840d407668ae17582d457c9b0.jpg,1,0,0,1,0
88198993_2472557479659169_6695387769994215424_n_jpg.rf.354f704ad05ce14858c17e455e8f8cd3.jpg,1,0,0,1,0
320078746_4923512921018469_1733572650387942690_n_jpg.rf.4e83744bb843e5dbe441ae6c7200fe60.jpg,1,1,0,0,0
209302151_3763700107068991_5226292433898206305_n_jpg.rf.d1d8fdc7c57a2f042e696199f2af1869.jpg,1,1,0,0,1
image171_jpeg.rf.87ac0139cdeaf3156043bca4f16593de.jpg,0,0,0,0,1
78788123_2761416830546804_7977743839077962284_n_jpg.rf.80fc550de0ae6fca901dc2729285c640.jpg,1,1,0,1,0
74906734_2874544982577262_5851573913018945198_n_jpg.rf.38599ffa46094abec52d3f7cc8d04fe0.jpg,1,1,0,0,0
241482281_6430553776955542_2993146019454565846_n_jpg.rf.0b1f7df549074eba149883281ef85e2d.jpg,1,0,0,0,1
240272004_847698349474740_6333793022041109403_n_jpg.rf.bd6f6eedcd7b82c98217de97aa6f499b.jpg,1,1,0,1,0
image75_jpeg.rf.3bde220d6575aa7b7cd3366a1a01d216.jpg,0,0,0,0,1
79333132_174323210339702_2693281510786853050_n_jpg.rf.05ba70dabc883704241a65c74fc3a662.jpg,1,0,0,0,1
241496173_184295577141370_3925842343740079265_n_jpg.rf.522eaf743aad44dba8b1aba13dfec128.jpg,0,0,0,0,0
201059695_525737118482769_2898246181446784243_n_jpg.rf.c81af4253f65a01abcd1b1df5576c2b2.jpg,1,1,0,0,0
89460358_1118002211877316_4052252185601201876_n_jpg.rf.1e64c4df98d8f14aeaedb11f870ecfab.jpg,1,0,0,0,1
241550377_965554587635904_468657167085029208_n_jpg.rf.be9952f5e282d58616e2763fa7435547.jpg,1,0,0,0,0
image76_jpeg.rf.a875c248a9ae4ea81e2f075dba113f0b.jpg,0,0,0,0,1
241492373_382843023574761_2565353515960733618_n_jpg.rf.82c1b8042164dbf757c4121aba4caf5a.jpg,1,0,0,0,0
240421336_941783209758179_6780936600103903964_n_jpg.rf.ef6f6dfd314d578eb85df868cb00935e.jpg,1,0,1,1,1
78799013_456966801906195_2305442083537762269_n_jpg.rf.5c9a42eeb25f13d9ba811261d7adabd6.jpg,1,1,0,0,0
241569462_1796783503839433_693137371314443034_n_jpg.rf.642e0d076440ae95ef05de3ef7bb2892.jpg,1,1,0,0,0
200751681_1662212533966604_2570417392636972892_n_jpg.rf.1818d3d6f61f0e3ababc29d3955c0982.jpg,1,1,0,0,0
241507518_652759435600842_4015303925950045259_n_jpg.rf.2b397a859cc871916a7434353f995132.jpg,1,1,0,0,0
313825161_122742680608925_7410051893257557381_n_jpg.rf.065186c7d59eb6d17ee1759a00432adb.jpg,1,0,0,1,0
image106_jpeg.rf.02a44ce7911c2374004f1e04e524f958.jpg,0,0,0,0,1
319133015_660882695483017_2676743284197771651_n_jpg.rf.1dd32aed27b4bdbd4ff4bde607a5d627.jpg,1,1,0,0,0
image100_jpeg.rf.a1013c13e309ae27322880ceeac700e4.jpg,0,0,0,0,1
240413301_1161209077623793_9146221671712801160_n_jpg.rf.c1bbb11db0369ccbd9528527c1a4bdc8.jpg,1,1,0,0,0
248191954_409255040643495_8262015047295281711_n_jpg.rf.7019297a31c58ac283615e38f701be14.jpg,1,0,0,0,0
image107_jpeg.rf.4736bb7e2edcbae9477bec43431d37b4.jpg,0,0,0,0,1
image77_jpeg.rf.19a7909401feb3cdc4f7f71447fcc041.jpg,0,0,0,0,1
200960720_368608334757547_7648527218704707958_n_jpg.rf.14938e59a82f2dfb0dcf0fa1cef922f5.jpg,0,0,0,0,0
